違規態樣,件數,金額總和,金額平均
延長工作時間未依規定加給工資。延長工作時間超過法令規定。未依規定給予例假或休息日。,1,60000,60000
平日延長工時未給付工資;延長工作時間超過法令規定;未於每7天給予1天休息作為例假;國定假日出勤未依規定加給工資,1,80000,80000
雇主未依規定提供工資各項目計算方式明細;雇主未依規定逐日記載出勤情形至分鐘為止,1,40000,40000
受處分人對女性受僱者請生理假為其他不利之處分。,1,20000,20000
因天災、事變或突發事件使勞工於正常時外工作，未給予事後適當之休息,1,20000,20000
雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施者。,1,20000,20000
工資未依約定之日期全額給付。,1,20000,20000
依第三十條規定變更正常工作時間者，勞工每二週內至少應有二日之例假，每四週內之例假及休息日至少應有八日，每八週內之例假及休息日至少應有十六日,1,20000,20000
勞工職災死亡，未給予遺屬死亡補償,1,20000,20000
延長工作時間未依規定加給工資;未依規定給予特別休假未休折現工資,1,40000,40000
未依規定給付加班費,1,20000,20000
工資應全額直接給付勞工。：工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同。,1,40000,40000
未依規定置備勞工工資清冊,1,20000,20000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同。：雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又...：勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。：假日工資未給或於休假日工作未依規定加給工資,1,80000,80000
延長工時未依法令規定倍率計算加給工資,1,50000,50000
未給付勞工延時工資、勞工1日正常工作時間連同延長工作時間超過12小時,1,40000,40000
未依規定詳實記載勞工出勤情形至分鐘為止;使勞工連續工作日數超過未有例假之給予,1,40000,40000
延長工作時間未依規定加給工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,40000,40000
雇主未置備勞工工資清冊，或未記入發放工資、工資各項目計算方式明細、工資總額等事項，或工資清冊未保存5年;未依規定給予特別休假,1,40000,40000
未依規定加給平日延長工作時間工資,1,50000,50000
未依規定給付延長工時工資;連續工作4小時未給予30分鐘之休息,1,40000,40000
未逐日記載勞工出勤情形至分鐘為止;假日工資未給或於休假日工作未依規定加給工資。,1,40000,40000
工資未全額直接給付勞工;延長工作時間未依規定加給工資。,1,40000,40000
未依規定於約定工資給付日全額給付工資予勞工。,1,30000,30000
